Timestamp,NameGiven,NameFamily,Organization,Title,URL,Status
5/13/2019 19:43:51,Ginny,Barbour,Australasian Open Access Strategy Group,Director,https://aoasg.org.au/,My Institution
5/13/2019 19:43:51,Arianna,Becerril,Universidad Autónoma del Estado de México,Professor,https://www.uaemex.mx/,My Institution
5/13/2019 19:43:51,Leslie,Chan,"Centre for Critical Development Studies, University of Toronto Scarborough","Associate Professor, Teaching Stream",https://www.utsc.utoronto.ca/ccds/welcome-centre-critical-development-studies-ccds,My Institution
5/13/2019 19:43:51,Raym,Crow,SPARC,Senior Consultant,https://sparcopen.org/,Myself
5/13/2019 19:43:51,Peg,Fowler,Hypothesis,"Director, Business Operations",https://web.hypothes.is/,Myself
5/13/2019 19:43:51,Heather,Joseph,SPARC,Executive Director,https://sparcopen.org/,My Institution
5/13/2019 19:43:51,Pierre,Mounier,OPERAS,Associate Director for International Development,https://operas.hypotheses.org/,My Institution
5/13/2019 19:43:51,Cameron,Neylon,Curtin University,Professor of Research Communications,https://www.curtin.edu.au/,My Institution
5/13/2019 19:43:51,David,Lewis,Mapping the Scholarly Communications Infrastructure,Principal Investigator,https://scholarlycommons.net/,My Institution
5/13/2019 19:43:51,Lucy,Ofiesh,Center for Open Science,Chief Operating Officer,https://cos.io/,My Institution
5/13/2019 19:43:51,Vanessa,Proudman,SPARC Europe,Director,https://sparceurope.org/,My Institution
5/13/2019 19:43:51,Kristen,Ratan,Strategies for Open Science (Stratos),Founder,,My Institution
5/13/2019 19:43:51,Danielle,Robinson,Code for Science and Society,Co-Executive Director,https://codeforscience.org/,My Institution
5/13/2019 19:43:51,Mike,Roy,Middlebury College,Dean of the Library,http://www.middlebury.edu/,My Institution
5/13/2019 19:43:51,Katherine,Skinner,Educopia Institute,Executive Director,https://educopia.org/,My Institution
5/13/2019 19:43:51,Himla,Soodyall,Academy of Science of South Africa,Executive Officer,https://www.assaf.org.za/,My Institution
5/13/2019 19:43:51,Greg,Tananbaum,Open Research Funders Group,ORFG Coordinator,http://www.orfg.org/,My Institution
5/13/2019 19:43:51,Evviva,Weinraub,Northwestern University,Associate University Librarian for Digital Strategies,https://www.northwestern.edu/,My Institution
5/13/2019 19:43:51,Dan,Whaley,Hypothesis,Founder & CEO,https://web.hypothes.is/,My Institution
5/13/2019 19:43:51,John,Wilkin,University of Illinois at Urbana-Champaign,Dean of Libraries and University Librarian,https://illinois.edu/,My Institution
5/13/2019 19:43:51,Maurice,York,University of Michigan,Associate University Librarian for Library Information Technology,https://umich.edu/,My Institution
5/13/2019 19:43:51,Nate,Angell,Hypothesis,Director of Marketing,https://web.hypothes.is/,Myself
5/14/2019 17:15:54,Terry,Ehling,MIT Knowledge Futures Group,Managing Director,https://kfg.mit.edu/,Myself
5/14/2019 17:54:09,Jefferson,Bailey,Internet Archive,"Director, Web Archiving & Data Services",https://archive.org/,My Institution
5/14/2019 18:24:53,Nick,Shockey,SPARC,Director of Programs & Engagement,https://www.sparcopen.org,Myself
5/14/2019 19:17:04,Jean-Francois,Lutz,Université de Lorraine,Head of Digital Library,http://bu.univ-lorraine.fr,Myself
5/14/2019 19:38:34,Brandon,Butler,University of Virginia Library,Director of Information Policy,http://library.virginia.edu,Myself
5/14/2019 20:40:18,Paige,Mann,University of Redlands,Scholarly Communications Librarian | STEM Librarian,https://www.redlands.edu,Myself
5/14/2019 20:40:52,Stephanie,Walker,University of North Dakota Libraries,Dean of Libraries & Information Resources,http://library.und.edu,Myself
5/14/2019 21:02:21,Lisa,Hinchliffe,University of Illinois at Urbana-Champaign,Professor/Coordinator for Information Literacy Services & Instruction,http://lisahinchliffe.com,Myself
5/15/2019 1:10:30,Dominique,Babini,CLACSO-Latin American Council of Social Sciences,Open Access Advisor,http://biblioteca.clacso.edu.ar/documentos/CLACSO_and_Open_Access_version_ingles.pdf,Myself
5/15/2019 1:14:41,Karina,Batthyány,CLACSO-Latin American Council of Social Sciences,Executive Secretary,http://www.clacso.org,My Institution
5/15/2019 4:07:55,Samuel,Klein,New England Wikimedians,Founder,http://meta.wikimedia.org,Myself
5/15/2019 7:54:31,Bianca,Kramer,Utrecht University,Scholarly Communication Librarian,https://www.uu.nl,Myself
5/15/2019 8:29:10,Eelco,Ferwerda,OAPEN Foundation,Director,http://www.oapen.org,My Institution
5/15/2019 9:04:06,Chris,Hartgerink,Independent,,https://chjh.nl,Myself
5/15/2019 10:24:51,J. K.,Vijayakumar,King Abdullah University of Science and Technology Library,Library Director,http://library.kaust.edu.sa,My Institution
5/15/2019 11:21:10,Omo,Oaiya,West and Central African Research and Education Network (WACREN),Chief Strategy Officer,https://www.wacren.net,My Institution
5/15/2019 11:50:30,Andrew,Sila,ICRAF,Data Scientist,http://worldagroforestry.org/sd/landhealth/soil-plant-spectral-diagnostics-laboratory,Myself
5/15/2019 11:59:19,Ahmed,Ogunlaja,Washington University in St Louis,Student,https://brownschool.wustl.edu,Myself
5/15/2019 12:17:58,Josiline,Chigwada,Bindura University of Science Education,Sub Librarian - Information Services,http://library.buse.ac.zw,Myself
5/15/2019 12:54:24,Joseph,Sagbohan,University of Abomey Calavi,Library and ICT Project Manager,http://www.uac.bj,Myself
5/15/2019 12:57:30,Raymond,Katebaka,African Union of Conservationists (AUC),General Secretary,https://www.afruc.org/,My Institution
